"lratio"	"variance"	"var_hat_vk"	"n.spectra"	"n.na1"	"n.na2"	"p.value.rat"	"p.value.sample"	"p.value"	"is.significant"	"ac"	"r1"	"r2"	"class1"	"class2"	"zscore"
"2587"	-0.0838701236569355	0.117744261311399	Inf	1	0	0	0.403452631075787	NA	1	0	"A0A075B5N8, A0A0G2JGN0, P01661, P01662, P01663"	"126"	"130"	"126"	"130"	-0.516514361153419
"3346"	-0.0487646633298144	0.117789279813139	Inf	1	0	0	0.443505901373302	NA	1	0	"A0A075B5N8, A0A0G2JGN0, P01661, P01662, P01663"	"126"	"131"	"126"	"131"	-0.267650172810081
"311"	0.0510835708951802	0.0145090613827819	6.77983283430074e-05	4	0	0	0.33574882249162	NA	1	0	"A0A075B5N9, A0A075B5P0, A0A075B5P1, A0A0G2JE31, A0A140T8M6, A0A140T8P0, A0A140T8P4, A0A140T8Q0, A0A140T8Q4, P01654, P01655, P01656, P01657, P01658, P01659, P01660, P01664, P01665, P01666, P01667, P01668, P01669, P01670, P01671, P01672, P01673, P03977"	"126"	"127"	"126"	"127"	0.440178453744682
"1070"	0.0734851354660453	0.0144995256140394	1.45105407630112e-05	4	0	0	0.270841212737781	NA	1	0	"A0A075B5N9, A0A075B5P0, A0A075B5P1, A0A0G2JE31, A0A140T8M6, A0A140T8P0, A0A140T8P4, A0A140T8Q0, A0A140T8Q4, P01654, P01655, P01656, P01657, P01658, P01659, P01660, P01664, P01665, P01666, P01667, P01668, P01669, P01670, P01671, P01672, P01673, P03977"	"126"	"128"	"126"	"128"	0.598984153274058
"1829"	0.0508496364087876	0.0193852558173657	6.69080465614145e-06	3	0	0	0.357474369769804	NA	1	0	"A0A075B5N9, A0A075B5P0, A0A075B5P1, A0A0G2JE31, A0A140T8M6, A0A140T8P0, A0A140T8P4, A0A140T8Q0, A0A140T8Q4, P01654, P01655, P01656, P01657, P01658, P01659, P01660, P01664, P01665, P01666, P01667, P01668, P01669, P01670, P01671, P01672, P01673, P03977"	"126"	"129"	"126"	"129"	0.438520081641335
"2588"	0.297941726687031	0.058444929160399	0.000847257050948063	4	0	0	0.108896554145004	NA	1	0	"A0A075B5N9, A0A075B5P0, A0A075B5P1, A0A0G2JE31, A0A140T8M6, A0A140T8P0, A0A140T8P4, A0A140T8Q0, A0A140T8Q4, P01654, P01655, P01656, P01657, P01658, P01659, P01660, P01664, P01665, P01666, P01667, P01668, P01669, P01670, P01671, P01672, P01673, P03977"	"126"	"130"	"126"	"130"	2.19016703115156
"3347"	0.218849682756711	0.0488683570914651	0.000763854914116033	4	0	0	0.161088810231457	NA	1	0	"A0A075B5N9, A0A075B5P0, A0A075B5P1, A0A0G2JE31, A0A140T8M6, A0A140T8P0, A0A140T8P4, A0A140T8Q0, A0A140T8Q4, P01654, P01655, P01656, P01657, P01658, P01659, P01660, P01664, P01665, P01666, P01667, P01668, P01669, P01670, P01671, P01672, P01673, P03977"	"126"	"131"	"126"	"131"	1.62947997182455
"312"	NA	Inf	NA	0	0	0	NA	NA	1	0	"A0A075B5N9, A0A0G2JE31, P01674"	"126"	"127"	"126"	"127"	NA
"1071"	-0.126809093355658	0.124885236803827	Inf	1	0	0	0.359859248425659	NA	1	0	"A0A075B5N9, A0A0G2JE31, P01674"	"126"	"128"	"126"	"128"	-0.820910650015531
"1830"	-0.177726508260739	0.12503726985923	Inf	1	0	0	0.307618702437069	NA	1	0	"A0A075B5N9, A0A0G2JE31, P01674"	"126"	"129"	"126"	"129"	-1.18186649605252
"2589"	0.345043098442477	0.124360967794841	Inf	1	0	0	0.163929991695391	NA	1	0	"A0A075B5N9, A0A0G2JE31, P01674"	"126"	"130"	"126"	"130"	2.52407077554203
"3348"	0.169560226028125	0.124783107963622	Inf	1	0	0	0.315611790602124	NA	1	0	"A0A075B5N9, A0A0G2JE31, P01674"	"126"	"131"	"126"	"131"	1.28006479457455
"313"	0.0634084863426336	0.11789514774978	Inf	1	0	0	0.426743426772685	NA	1	0	"A0A075B5P1"	"126"	"127"	"126"	"127"	0.527550334091772
"1072"	0.103942546621172	0.117845682730219	Inf	1	0	0	0.381026284333774	NA	1	0	"A0A075B5P1"	"126"	"128"	"126"	"128"	0.814898111830077
"1831"	0.0739624092938396	0.11784925202988	Inf	1	0	0	0.414708025738869	NA	1	0	"A0A075B5P1"	"126"	"129"	"126"	"129"	0.602367568921218
"2590"	0.0788243692626969	0.117865702657568	Inf	1	0	0	0.409202351960824	NA	1	0	"A0A075B5P1"	"126"	"130"	"126"	"130"	0.636834221975549
"3349"	0.055072507417143	0.117915145534495	Inf	1	0	0	0.436290894188299	NA	1	0	"A0A075B5P1"	"126"	"131"	"126"	"131"	0.4684562042895
"75"	0.0588924878746006	0.00365277809342008	5.44294269497455e-06	16	0	0	0.164922870565217	NA	1	0	"A0A075B5P2, P01837"	"126"	"127"	"126"	"127"	0.495536217688389
"834"	-0.0218294661820207	0.00365028561463534	4.21202130482004e-06	16	0	0	0.358933949553993	NA	1	0	"A0A075B5P2, P01837"	"126"	"128"	"126"	"128"	-0.0767053478856559
"1593"	-0.0974469983930644	0.00661123647430415	2.09601567311122e-05	15	0	0	0.115367072760858	NA	1	0	"A0A075B5P2, P01837"	"126"	"129"	"126"	"129"	-0.612761437248175
"2352"	0.386321610672594	0.0119822373284577	0.000118073377029042	12	0	0	0.000208384845109259	NA	1	0	"A0A075B5P2, P01837"	"126"	"130"	"126"	"130"	2.81669600667259
"3111"	0.390059351876972	0.0176986995364359	0.000206706094366389	14	0	0	0.00168407831321373	NA	1	0	"A0A075B5P2, P01837"	"126"	"131"	"126"	"131"	2.84319302230484
"314"	0.165551918771983	0.117629300556343	Inf	1	0	0	0.314654712134282	NA	1	0	"A0A075B5P3, A0A0A6YVP0, A0A0A6YY53, F6TQW2, P01863, P01864, P01865"	"126"	"127"	"126"	"127"	1.25164972402326
"1073"	0.138940594130067	0.117611870091226	Inf	1	0	0	0.342687834125176	NA	1	0	"A0A075B5P3, A0A0A6YVP0, A0A0A6YY53, F6TQW2, P01863, P01864, P01865"	"126"	"128"	"126"	"128"	1.06300084587039
"1832"	0.106591390326112	0.117614153344825	Inf	1	0	0	0.377973254363729	NA	1	0	"A0A075B5P3, A0A0A6YVP0, A0A0A6YY53, F6TQW2, P01863, P01864, P01865"	"126"	"129"	"126"	"129"	0.833675884077913
"2591"	0.230508110739917	0.117612646807797	Inf	1	0	0	0.25074755399936	NA	1	0	"A0A075B5P3, A0A0A6YVP0, A0A0A6YY53, F6TQW2, P01863, P01864, P01865"	"126"	"130"	"126"	"130"	1.71212709253922
"3350"	0.253582433700029	0.117623369263257	Inf	1	0	0	0.229835734105486	NA	1	0	"A0A075B5P3, A0A0A6YVP0, A0A0A6YY53, F6TQW2, P01863, P01864, P01865"	"126"	"131"	"126"	"131"	1.87570200657059
"116"	0.0482096695889874	0.0145031088248481	2.01397353122836e-09	4	0	0	0.344461670535202	NA	1	0	"A0A075B5P3, A0A0A6YVP0, P01867"	"126"	"127"	"126"	"127"	0.419805238031797
"875"	0.0396002619490228	0.0116763982200233	1.6361916721086e-07	5	0	0	0.357005566206151	NA	1	0	"A0A075B5P3, A0A0A6YVP0, P01867"	"126"	"128"	"126"	"128"	0.35877275976569
"1634"	0.00782402740851198	0.0116783517124538	4.38581892211207e-07	5	0	0	0.471141724627894	NA	1	0	"A0A075B5P3, A0A0A6YVP0, P01867"	"126"	"129"	"126"	"129"	0.133509602870909
"2393"	0.0311072734198162	0.0116814486458778	3.69098726341903e-05	5	0	0	0.386744134153534	NA	1	0	"A0A075B5P3, A0A0A6YVP0, P01867"	"126"	"130"	"126"	"130"	0.298565581815728
"3152"	0.023952364647111	0.0207175287045858	0.000212772477835251	5	0	0	0.433917152489381	NA	1	0	"A0A075B5P3, A0A0A6YVP0, P01867"	"126"	"131"	"126"	"131"	0.247844111486103
"159"	0.0842022018833975	0.0096092629316038	5.33038059763175e-06	6	0	0	0.195178307946346	NA	1	0	"A0A075B5P4, A0A0A6YWR2, P01868, P01869"	"126"	"127"	"126"	"127"	0.674957919478044
"918"	0.0801913047846306	0.0115032456624204	1.94509793700966e-08	5	0	0	0.22732591380912	NA	1	0	"A0A075B5P4, A0A0A6YWR2, P01868, P01869"	"126"	"128"	"126"	"128"	0.646524489415823
"1677"	-0.0400213526386352	0.00960740933005055	1.52434393860258e-06	6	0	0	0.341523532700194	NA	1	0	"A0A075B5P4, A0A0A6YWR2, P01868, P01869"	"126"	"129"	"126"	"129"	-0.205668449786983
"2436"	-0.109796266302298	0.0096115067143551	1.99438538726497e-07	6	0	0	0.13137127080638	NA	1	0	"A0A075B5P4, A0A0A6YWR2, P01868, P01869"	"126"	"130"	"126"	"130"	-0.70030595329292
"3195"	-0.114206215217465	0.00961720683252907	9.55291057185735e-08	6	0	0	0.122096729627989	NA	1	0	"A0A075B5P4, A0A0A6YWR2, P01868, P01869"	"126"	"131"	"126"	"131"	-0.731568279642784
"44"	0.00304600980821225	0.00362147903905201	5.59744568735425e-06	16	0	0	0.479815733842414	NA	1	0	"A0A075B5P5, A0A1Y7VJN6, P03987"	"126"	"127"	"126"	"127"	0.0996380210454988
"803"	-0.0583339016022465	0.0121032289481138	6.65416206681316e-05	18	0	0	0.297973653358192	NA	1	0	"A0A075B5P5, A0A1Y7VJN6, P03987"	"126"	"128"	"126"	"128"	-0.335486933631388
"1562"	-0.0726145283640615	0.0106451591515366	6.64516175469152e-05	18	0	0	0.240779585855468	NA	1	0	"A0A075B5P5, A0A1Y7VJN6, P03987"	"126"	"129"	"126"	"129"	-0.436722939511864
"2321"	0.311134572406645	0.032250118012422	0.000773743514766827	18	0	0	0.0415889624460437	NA	1	0	"A0A075B5P5, A0A1Y7VJN6, P03987"	"126"	"130"	"126"	"130"	2.28369170826323
"3080"	0.333590366763512	0.0395299176349022	0.00114225534480754	18	0	0	0.046689168265722	NA	1	0	"A0A075B5P5, A0A1Y7VJN6, P03987"	"126"	"131"	"126"	"131"	2.44288184518644
